VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTDKARFP4H,Thurston,Olympia,WA,98501,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,111995124,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
7SAYGDEE9P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,233775979,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
7SAYGDEE0P,Thurston,Olympia,WA,98513,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,233543306,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012331
5YJSA1E21H,Thurston,Olympia,WA,98501,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,148524484,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
JTDKARFP9J,Thurston,Tumwater,WA,98512,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,258661420,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
JTMABABA2P,Thurston,Tenino,WA,98589,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,240153364,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
1N4AZ1CP5J,Thurston,Olympia,WA,98506,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,337207307,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1G1FZ6S03M,Thurston,Olympia,WA,98501,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,270834259,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1G1FW6S05J,Thurston,Rainier,WA,98576,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,20,106537525,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012531
1FTBW9CK5P,Thurston,Olympia,WA,98502,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,266716215,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1FTVW1EV2P,Thurston,Lacey,WA,98516,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,244844295,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
